address_line_1,address_line_2,city,compliance_status,contract_decision,contribution_amount,contribution_date,cumulative_total,dataset_source,employer,exceeds_cumulative_limit,exceeds_single_limit,first_name,full_name,id,kyc_passed,kyc_status,last_name,occupation,phone,state,unique_id,wallet,zip
585 Ash Road,Unit 16C,Philadelphia,,,,,,prospects,Travel Agency,,,Maria,,132,,,Patel,Software Engineer,555-3900,PA,G2EY457P,0x5bb8c5e66c45b686c8fcfe1dcf922b8be1c0cc65,19101
505 Pine Avenue,,Virginia Beach,,,,,,prospects,Global Marketing Corp,,,Anna,,133,,,Fisher,Software Engineer,555-2683,VA,61R02LE0,0xf8a9a9456b79e71dd0fa744aff14050f24f76ddf,23451
885 Poplar Road,Apt 2A,Seattle,,,,,,prospects,Construction Co,,,Janet,,134,,,Smith,Agent,555-8030,WA,HB0KZGZV,0x23f734463c3f9de09b89f973345d59d07823471f,98101
613 Pine Way,,Miami,,,,,,prospects,Pharmacy Chain,,,Jennifer,,135,,,Vargas,CPA,555-7513,FL,QC3S78YD,0x4c1e27a0b54c139d71fb26e36844d22f93aa4cf3,33101
217 Spruce Street,,Miami,,,,,,prospects,Film Studio,,,Michelle,,136,,,Howard,Attorney,555-8241,FL,GAVDF2JW,0x2b44efbf555afa30543e56958095d15d05180e1f,33101
479 Oak Place,,Atlanta,,,,,,prospects,Nonprofit Org,,,David,,137,,,Perez,Store Manager,555-6532,GA,ZO41S71R,0x63a1ea1588480d7c126c336d05a4abbc10417600,30301
761 Spruce Street,,Philadelphia,,,,,,prospects,Consulting Firm,,,Dorothy,,138,,,Henderson,Operations Manager,555-3851,PA,X7EJVPUI,0x76495a8d986977c62e334cec1a2126785f357d99,19101
696 Pine Circle,Apt 19A,Tampa,,,,,,prospects,Food Services,,,Christina,,139,,,Richardson,Pilot,555-5594,FL,JFPK0JBX,0x8fe5b8e7599f87610b43f64537186a9da4a05b31,33601
885 Spruce Avenue,,Austin,,,,,,prospects,Hospital Network,,,Gregory,,140,,,Henry,Banker,555-8012,TX,18QL8MLY,0xcaf3a68da383816a78f910a87e4e8346948030c0,78701
273 Cedar Court,Apt 17,Boston,,,,,,prospects,Travel Agency,,,Charles,,141,,,Reyes,Security Consultant,555-2109,MA,FCPJ4T0A,0x4ca8c1ea0324538018d71b219d01121f44802ea4,02101
619 Elm Place,Suite 5D,Charlotte,,,,,,prospects,Investment Bank,,,Jennifer,,142,,,Green,Pilot,555-3657,NC,PEDKQ7XI,0x80158c8aa850f8a497c8062d26f795c00993798e,28201
340 Cedar Street,,Charlotte,,,,,,prospects,Law Associates,,,Carolyn,,143,,,Russell,Security Consultant,555-7228,NC,AVMDYV3T,0x691874a905ac46e7750f632fb97076df03aeccaa,28201
189 Poplar Circle,,Albuquerque,,,,,,prospects,Insurance Corp,,,Charles,,144,,,Alexander,Physician,555-7969,NM,Y3XILU2G,0x0bdf47a6a3e6b7f1cedcf414709880a089e34f20,87101
989 Spruce Way,,Oakland,,,,,,prospects,Aerospace Corp,,,Deborah,,145,,,James,Security Consultant,555-6419,CA,8SXUJPIL,0xbc2cc7aab2b6937406c5138816f4d9bee7f3cf70,94601
671 Oak Road,,Fort Worth,,,,,,prospects,Insurance Corp,,,Teresa,,146,,,Gonzalez,Architect,555-1489,TX,6BP7TQGA,0xf045228a69d2c5af0987a863e22d3c9854693f75,76101
339 Birch Court,Unit 20A,Charlotte,,,,,,prospects,Financial Advisory LLC,,,Donna,,147,,,Myers,Professor,555-6145,NC,OX09YVNV,0xa946121fef719d4f0692dd4f7fdfa1f93e03fed8,28201
834 Maple Court,Apt 15,Dallas,,,,,,prospects,Architecture Firm,,,John,,148,,,Wright,Attorney,555-6933,TX,6ZMX83DT,0x0acc3797987063e949a5375540f6b825fccc888b,75201
789 Pine Way,,San Diego,,,,,,prospects,Architecture Firm,,,Patricia,,149,,,Murray,Mechanical Engineer,555-1149,CA,8HV6FTUV,0x38c18c8b58077f27e0ba0ee8dd14b4514853854f,92101
280 Maple Circle,,Boston,,,,,,prospects,Biotech Labs,,,Janice,,150,,,Long,Professor,555-1400,MA,YMTV5RNA,0x826d19f6cf50fa12bdf4e2572b82c2ffc108bfc9,02101
125 Pine Place,,Atlanta,,,3300,2024-01-07,,donors,Consulting Firm,,,Laura,,1,,,Ward,Pilot,555-3473,GA,9R1LB52B,0xc81131c2206dcacd857c8fd22937b17a9edade8b,30301
765 Elm Place,Suite 2D,Miami,,,985.14,2024-01-07,,donors,Tech Solutions Inc,,,James,,2,,,Powell,Banker,555-4207,FL,BS2LMXM4,0xbe3499ead82ee1b832ad617e920fcb9420d95c15,33101
524 Pine Court,,Seattle,,,1269.73,2024-01-07,,donors,Nonprofit Org,,,Debra,,3,,,Anderson,Operations Manager,555-9600,WA,M13JF1JW,0x523a2ca6a5d61408a22071c45869970473e785a5,98101
620 Birch Lane,Unit 17B,San Antonio,,,764.13,2024-01-07,,donors,Consulting Firm,,,Stephen,,4,,,Ward,Engineer,555-1782,TX,M22SMOJS,0x813389e2380a9b638316362b070c19bca9955689,78201
354 Ash Street,Apt 19B,New York,,,894.92,2024-01-11,,donors,Law Associates,,,Jose,,5,,,Rivera,Agent,555-2452,NY,CNPVNIFW,0x7edb2abea6c22946711c2ae65ebbe4f88d419de7,10001
776 Oak Place,,Anaheim,,,1827.95,2024-01-11,,donors,Sports Management,,,Charlotte,,6,,,Aguilar,Project Manager,555-2564,CA,U22P0A4G,0x31eda11686c47c6ce67f545f67623e233a295489,92801
765 Elm Place,Suite 2D,Miami,,,784.79,2024-01-18,,donors,Tech Solutions Inc,,,James,,7,,,Powell,Banker,555-4207,FL,BS2LMXM4,0xbe3499ead82ee1b832ad617e920fcb9420d95c15,33101
634 Maple Drive,,Minneapolis,,,836.6,2024-01-20,,donors,Consulting Firm,,,Jacqueline,,8,,,Ruiz,Site Supervisor,555-2653,MN,5W2GH215,0xa6f73db471dfbf4fcdbc146bca6f57b4e4a21f36,55401
953 Willow Lane,Unit 1B,Austin,,,1786.01,2024-01-23,,donors,Financial Advisory LLC,,,Christian,,9,,,Butler,Director,555-3971,TX,H3D8ZLEY,0xd9345816116cd600b4d2a3a78c37eee7551ba686,78701
145 Pine Place,,Detroit,,,1581.03,2024-01-24,,donors,University,,,Andrea,,10,,,White,Product Manager,555-4875,MI,92CTKVF0,0x007c0582ff9ab4d26e63667de01513dfb4833739,48201
124 Pine Way,,Milwaukee,,,845.27,2024-01-24,,donors,Food Services,,,Jennifer,,11,,,Mendoza,Operations Manager,555-6978,WI,AMNKHZ1B,0x3db59b0ecfdccda46e37fca7df83f9f66f45f2c1,53201
788 Oak Street,,Philadelphia,,,1116.27,2024-02-02,,donors,Retail Chain,,,George,,12,,,Hayes,Underwriter,555-9837,PA,ETQ4A0MC,0x3ad706f1fb16f02d574548d6ece4cdc7c4b71c7d,19101
323 Ash Way,,Milwaukee,,,1108.07,2024-02-02,,donors,Tech Startup,,,Carolyn,,13,,,Williams,Designer,555-8189,WI,2TJUI40V,0xc314a1b0300b7bb183fa4fa72327b992d7b4c803,53201
509 Pine Circle,,Atlanta,,,15.62,2024-02-03,,donors,Hospital Network,,,Kelly,,14,,,Diaz,Systems Analyst,555-6981,GA,6H1RMG77,0xb04cd64de83f984a0587cf8c4af20c920e8fcc4a,30301
985 Ash Street,,San Jose,,,1015.57,2024-02-04,,donors,Insurance Corp,,,Carol,,15,,,Ellis,Consultant,555-3617,CA,RJ77OYU1,0x577785223d3bee101e0068ec4e2606dbdfb3dac4,95101
885 Cedar Avenue,Floor 18D,Indianapolis,,,1219.09,2024-02-07,,donors,Financial Advisory LLC,,,David,,16,,,Gray,Professor,555-3595,IN,060BKHPG,0x22c2d0b5f6a28ab00af5804b0ad8866f6a1af515,46201
145 Willow Drive,,Phoenix,,,119.92,2024-02-09,,donors,Publishing House,,,Lisa,,17,,,Stewart,Real Estate Agent,555-3950,AZ,Q59TWRLG,0x664f7d7d8fa5764f4b78e5931613aaea385ce77d,85001
958 Spruce Place,,Tampa,,,1625.94,2024-02-12,,donors,Pharmacy Chain,,,Olivia,,18,,,Hayes,Financial Analyst,555-6908,FL,Z9V2TMV2,0xd18e529ab2f0b718e2443b403698490da8b0b0a0,33601
395 Spruce Circle,Unit 17A,San Antonio,,,1144.44,2024-02-14,,donors,Construction Co,,,Brandon,,19,,,Kim,Agent,555-5033,TX,Y0A4GCHY,0x8deb771df348a346e9665651642b84e7612a8cfa,78201
392 Maple Circle,,Kansas City,,,1425.87,2024-02-14,,donors,Financial Advisory LLC,,,Katherine,,20,,,Medina,Physician,555-6505,MO,UULAEUSF,0xf9ffe8604491a3bbdbbcd10ef5c1bb27ca066401,64101
921 Poplar Circle,Apt 5C,Minneapolis,,,977.17,2024-02-16,,donors,Aerospace Corp,,,Rebecca,,21,,,Morgan,Pharmacist,555-4983,MN,RGBZX2ZV,0x338e51a7036a2d062c4348f191c49423131b8e19,55401
593 Cedar Place,,Las Vegas,,,3300,2024-02-17,,donors,Aerospace Corp,,,Mason,,22,,,Sullivan,Producer,555-8086,NV,CFNVL7IY,0x5b1faa040d43e4421e1195310a7a7043cad76edd,89101
993 Oak Boulevard,,Oakland,,,1526.06,2024-02-19,,donors,Education First,,,Justin,,23,,,Murray,CPA,555-8023,CA,NK71KXKQ,0x9179e979c6f88a2e5bb7452b9184f81b2fc72b2e,94601
758 Cedar Drive,,New York,,,705.55,2024-02-19,,donors,Tech Solutions Inc,,,Mary,,24,,,Griffin,Attorney,555-9965,NY,1VTXHOVE,0x5d80f366d3e403f877023b8fef5b8db4421aa091,10001
577 Oak Lane,,Indianapolis,,,34.18,2024-02-20,,donors,Telecom Company,,,Christina,,25,,,Parker,Systems Analyst,555-5078,IN,W94BZF6D,0xe0538f86fe2ca2184330103e34d4de7daea201af,46201
173 Pine Court,,Sacramento,,,859.96,2024-02-21,,donors,Energy Company,,,Jennifer,,26,,,Williams,Software Engineer,555-5736,CA,8KAP8OKK,0x947d80c2e24bddd798547911375235b11956d6e8,95801
898 Ash Court,,Honolulu,,,327.77,2024-02-23,,donors,Media Productions,,,Madison,,27,,,Hughes,Site Supervisor,555-3268,HI,VS0R6KCH,0x08a91a373f93252ed01e9aeeb76adf3fff5f09b3,96801
500 Cedar Circle,,Houston,,,1059.02,2024-02-24,,donors,Consulting Firm,,,Dennis,,28,,,Campbell,Editor,555-5231,TX,BELZFATP,0x0eab408c7f6720241267bf93385746c0b09d8ab2,77001
903 Elm Circle,Apt 18B,Jacksonville,,,1889.44,2024-02-29,,donors,Retail Giants,,,Grace,,29,,,Howard,Producer,555-8412,FL,WYMUMPQ6,0x0c1ef388200d522bf1daa07b7811942465b48600,32201
297 Birch Court,,Phoenix,,,1821.1,2024-03-02,,donors,Insurance Corp,,,James,,30,,,Jordan,Physician,555-6346,AZ,INYIJ9SW,0xca18afa644b2bc0c608e8c1ad9698976221d56c3,85001
466 Spruce Avenue,Floor 15D,Washington,,,1388.81,2024-03-05,,donors,Consulting Firm,,,Jordan,,31,,,Tran,Operations Manager,555-9913,DC,V4IHMZWN,0xdce29b140ea98c1288fc73758b4b6789121e89ed,20001
601 Cedar Street,Floor 3D,Tampa,,,1174.41,2024-03-07,,donors,Real Estate Group,,,Nicholas,,32,,,Wright,CEO,555-4533,FL,ZBWLU9BD,0xbc333228bdbf1ab6433082428f9f9ba4efaf6eef,33601
573 Oak Circle,,Jacksonville,,,592.48,2024-03-10,,donors,Music Label,,,Jessica,,33,,,Hernandez,Mechanical Engineer,555-2695,FL,HOMDYJ6X,0x4fe076c393985d328c46384018b77ec09fadb831,32201
831 Pine Boulevard,Floor 18C,Fort Worth,,,230.37,2024-03-12,,donors,Pharmacy Chain,,,Kenneth,,34,,,Woods,Banker,555-9256,TX,N7YMXCEN,0x576b1cec6392e4828d9265580b0f4386f5da9a38,76101
520 Ash Way,,Fresno,,,830.56,2024-03-12,,donors,Accounting Firm,,,Carolyn,,35,,,Wright,Software Engineer,555-2360,CA,HYRZFLYY,0xb5da13c9a2e6c944909df341735971f35f159f4b,93701
396 Spruce Street,,San Jose,,,445.01,2024-03-19,,donors,Pharmacy Chain,,,Zachary,,36,,,Medina,Financial Analyst,555-8426,CA,OHFLU3OH,0x1e76a2f53f0432153de523b6f533dbcb89014a66,95101
659 Birch Street,,Boston,,,1458.94,2024-03-22,,donors,Pharmacy Chain,,,Anthony,,37,,,Patel,Designer,555-2854,MA,GLSEX3RD,0x2a64f7bb981a38dac719b003e6b397db240abb4a,02101
859 Cedar Place,,Washington,,,1345.48,2024-03-22,,donors,Investment Bank,,,Emily,,38,,,Sanchez,Administrator,555-7261,DC,Y98W4QG0,0x8ad1100b8fc3cf674adab8369d29dd583d37f6af,20001
448 Birch Way,,Dallas,,,938.2,2024-03-24,,donors,Accounting Firm,,,Walter,,39,,,Harrison,Real Estate Agent,555-5890,TX,4376J1GV,0x318effcab4ce638cece0d59287d60367a79f3b22,75201
223 Cedar Road,Suite 9,Raleigh,,,346.55,2024-03-26,,donors,Real Estate Group,,,Kevin,,40,,,Marshall,Security Consultant,555-7242,NC,GR57OCIL,0xaf6893930cf70d8e426d0974d7b6532cd5d29636,27601
336 Oak Boulevard,,Los Angeles,,,522.38,2024-03-26,,donors,Travel Agency,,,Isabella,,41,,,Ellis,Producer,555-6167,CA,D9CLQHB1,0x8778637aa0f7b0f098e8d8fd6aea1b4be8130f6f,90001
812 Spruce Boulevard,,Atlanta,,,865.48,2024-03-28,,donors,Sports Management,,,Laura,,42,,,Alvarez,Network Engineer,555-8531,GA,AE6STQMB,0xf0db28b02e0aefc44f0c8f440689b2e8b2aab742,30301
918 Oak Place,,Indianapolis,,,1288.96,2024-03-28,,donors,Biotech Labs,,,Peter,,43,,,Cruz,Project Manager,555-3357,IN,ID074SG0,0x87784d374dc663aa06c86e68be590d190a01a94b,46201
631 Oak Boulevard,,Columbus,,,1031.61,2024-03-29,,donors,Insurance Corp,,,Steven,,44,,,Simmons,Partner,555-2086,OH,8XQ3USL9,0xf4b45c2c886e754735d3a925c01b646749f44422,43201
609 Pine Circle,,Charlotte,,,703.3,2024-03-29,,donors,Education First,,,Deborah,,45,,,Nguyen,Software Engineer,555-7868,NC,SJTVFVB0,0x1faa993bad304b35f13dcee234392df2f3b90617,28201
765 Elm Place,Suite 2D,Miami,,,1529.07,2024-04-01,,donors,Tech Solutions Inc,,,James,,46,,,Powell,Banker,555-4207,FL,BS2LMXM4,0xbe3499ead82ee1b832ad617e920fcb9420d95c15,33101
312 Poplar Lane,,Austin,,,1662.89,2024-04-03,,donors,Aerospace Corp,,,Douglas,,47,,,Long,Systems Analyst,555-7641,TX,GHN1RBNW,0x2da6ed35f23a97f2bcb70f9b04821754947703b5,78701
500 Cedar Circle,,Houston,,,208.77,2024-04-03,,donors,Consulting Firm,,,Dennis,,48,,,Campbell,Editor,555-5231,TX,BELZFATP,0x0eab408c7f6720241267bf93385746c0b09d8ab2,77001
793 Birch Avenue,,Phoenix,,,1804.55,2024-04-06,,donors,Gaming Studio,,,Denise,,49,,,Brown,Engineer,555-1457,AZ,HXHX4VMR,0x53598c1e45f207f550fe89ffc12ea5fa1074c6f5,85001
339 Birch Court,Unit 20A,Charlotte,,,1833.98,2024-04-06,,donors,Financial Advisory LLC,,,Donna,,50,,,Myers,Professor,555-6145,NC,OX09YVNV,0xa946121fef719d4f0692dd4f7fdfa1f93e03fed8,28201
944 Spruce Boulevard,,Omaha,,,1631.51,2024-04-07,,donors,Construction Co,,,Joseph,,51,,,Murphy,Security Consultant,555-2711,NE,7ZV3BEZO,0x7b224e8bbf01c624e0ca398b36d9ac9edfdf263c,68101
616 Poplar Way,,Detroit,,,402.09,2024-04-09,,donors,Media Productions,,,Janet,,52,,,Hamilton,Network Engineer,555-5176,MI,WVD3JZ0S,0x5f29d7266520f905a7ed3dc31fee98e81cd72907,48201
816 Elm Circle,Unit 7C,Phoenix,,,320.8,2024-04-11,,donors,Telecom Company,,,Aaron,,53,,,Foster,Director,555-4072,AZ,NPUEXHGC,0x062be612223a13602911e0c645268933d7c2afad,85001
176 Elm Boulevard,,Dallas,,,579.38,2024-04-20,,donors,Retail Chain,,,Christopher,,54,,,McDonald,Regional Manager,555-8841,TX,0ZSA683Z,0x62ce8019d99f1200de3aeac4442318d5f0b43a95,75201
223 Cedar Road,Suite 9,Raleigh,,,785.86,2024-04-20,,donors,Real Estate Group,,,Kevin,,55,,,Marshall,Security Consultant,555-7242,NC,GR57OCIL,0xaf6893930cf70d8e426d0974d7b6532cd5d29636,27601
472 Maple Court,Unit 13D,Chicago,,,430.55,2024-04-22,,donors,Sports Management,,,Charlotte,,56,,,Chen,Real Estate Agent,555-8618,IL,BIKJ52AQ,0x0f35d7146c2e374b0937ce698d42bb632c70ed81,60601
450 Oak Circle,,Houston,,,1394.56,2024-04-24,,donors,Pharmacy Chain,,,Debra,,57,,,Alvarez,Editor,555-6510,TX,9T7ZT14E,0xcfc1fa19b3e0c3cac56d1bc975212aa5725b732b,77001
814 Oak Avenue,Suite 4B,Fresno,,,613.34,2024-04-27,,donors,Healthcare Partners,,,Heather,,58,,,Gonzalez,Site Supervisor,555-7715,CA,ES2FK5CG,0xf4b66f6222fa72269483a2db98ccc67ba33e2488,93701
731 Oak Way,,Seattle,,,43.15,2024-04-30,,donors,Logistics Co,,,Nathan,,59,,,Bailey,CEO,555-1803,WA,I3CLB3U4,0x4a59d912a286645b5eb383d809755d8e03b383ae,98101
420 Spruce Place,,Tampa,,,3300,2024-05-01,,donors,Energy Company,,,Brenda,,60,,,Young,Mechanical Engineer,555-4284,FL,89CM5WVC,0x89050758df62c70764793ea4141dd83d0c29918f,33601
928 Oak Way,,Houston,,,428.67,2024-05-01,,donors,Art Gallery,,,Charlotte,,61,,,Kelly,CPA,555-2503,TX,T3OAEB3E,0x1e64dd35f4defceea0351705533b6fe4d4a54d1a,77001
788 Oak Street,,Philadelphia,,,608.96,2024-05-04,,donors,Retail Chain,,,George,,62,,,Hayes,Underwriter,555-9837,PA,ETQ4A0MC,0x3ad706f1fb16f02d574548d6ece4cdc7c4b71c7d,19101
415 Pine Lane,Apt 3,Raleigh,,,42.26,2024-05-05,,donors,Biotech Labs,,,Jessica,,63,,,Martin,Engineer,555-5388,NC,9AFFUUV5,0x05799cd6cebb2440a422ca35fc5ea0b9fbbd925a,27601
939 Poplar Avenue,,Los Angeles,,,483.13,2024-05-05,,donors,Music Label,,,Gregory,,64,,,Jenkins,Professor,555-8430,CA,PK7M5CYL,0x451206a32e3cdb54034607fcc15ae4faa519cee6,90001
689 Willow Road,Unit 11B,San Jose,,,255.14,2024-05-09,,donors,Real Estate Group,,,Kyle,,65,,,Rivera,Physician,555-5266,CA,C3Z2QOV8,0x7b4e9fcadf8ca8d10d80f3fe649d7329efd1dffe,95101
472 Maple Court,Unit 13D,Chicago,,,604.32,2024-05-10,,donors,Sports Management,,,Charlotte,,66,,,Chen,Real Estate Agent,555-8618,IL,BIKJ52AQ,0x0f35d7146c2e374b0937ce698d42bb632c70ed81,60601
616 Poplar Way,,Detroit,,,43.52,2024-05-11,,donors,Media Productions,,,Janet,,67,,,Hamilton,Network Engineer,555-5176,MI,WVD3JZ0S,0x5f29d7266520f905a7ed3dc31fee98e81cd72907,48201
393 Elm Boulevard,Floor 11D,Chicago,,,1891.35,2024-05-12,,donors,Logistics Co,,,Barbara,,68,,,Martin,Partner,555-8290,IL,0ZAA8WA1,0xf8939b634a74a54acc65e84e6b47b515e2e0ea25,60601
165 Oak Lane,Unit 16A,San Diego,,,1801.93,2024-05-13,,donors,Film Studio,,,Sara,,69,,,Anderson,Operations Manager,555-5573,CA,BXCCT17O,0x23b85badc811ea5160612fee46fe033bcc842d54,92101
498 Pine Circle,,Chicago,,,437.1,2024-05-13,,donors,Food Services,,,Samuel,,70,,,Martin,Security Consultant,555-4625,IL,UG1P460X,0xe2026c7617466af6b694e2f57ceee189ae685bdd,60601
479 Oak Place,,Atlanta,,,483.18,2024-05-14,,donors,Nonprofit Org,,,David,,71,,,Perez,Store Manager,555-6532,GA,ZO41S71R,0x63a1ea1588480d7c126c336d05a4abbc10417600,30301
470 Maple Way,Suite 10B,Minneapolis,,,103.39,2024-05-15,,donors,Hospital Network,,,Julie,,72,,,Jenkins,Security Consultant,555-3576,MN,6KMNDSDD,0x3426886ae6468b24e157deed18c2b7903bac517b,55401
382 Ash Way,,Phoenix,,,464.8,2024-05-16,,donors,Film Studio,,,Ashley,,73,,,Gutierrez,Restaurant Owner,555-7757,AZ,SKTN9UM4,0x5479e4c84180af2d1c1ea285377cd6a0834567e2,85001
500 Cedar Circle,,Houston,,,86.83,2024-05-16,,donors,Consulting Firm,,,Dennis,,74,,,Campbell,Editor,555-5231,TX,BELZFATP,0x0eab408c7f6720241267bf93385746c0b09d8ab2,77001
358 Pine Road,Floor 2B,Seattle,,,1246.7,2024-05-17,,donors,Pharmacy Chain,,,Jacqueline,,75,,,Vasquez,Marketing Director,555-3929,WA,8E8S8O5B,0x759e3024366f02ceef107a3a5836c10100349918,98101
470 Maple Way,Suite 10B,Minneapolis,,,28.38,2024-05-18,,donors,Hospital Network,,,Julie,,76,,,Jenkins,Security Consultant,555-3576,MN,6KMNDSDD,0x3426886ae6468b24e157deed18c2b7903bac517b,55401
151 Elm Road,Apt 18C,Philadelphia,,,1493.94,2024-05-19,,donors,Food Services,,,Barbara,,77,,,Alvarez,Real Estate Agent,555-1041,PA,3BPC7AAP,0x7749e2a80b8ed640195638f4afdc45743decd62d,19101
954 Elm Boulevard,,Nashville,,,262.73,2024-05-20,,donors,Music Label,,,Susan,,78,,,Diaz,Research Scientist,555-2828,TN,F8M7G9DL,0xa51697eeedfb8e9d5af175aab64d1c1170dbf12e,37201
137 Elm Road,,Houston,,,603.7,2024-05-22,,donors,Hospital Network,,,Chloe,,79,,,Washington,Real Estate Agent,555-8722,TX,GMC4HU1A,0x72b6fbbefe9c2189db481e1d965db73185cf4ce6,77001
721 Poplar Avenue,Unit 12C,Minneapolis,,,815.64,2024-05-22,,donors,Retail Giants,,,Anna,,80,,,Romero,Real Estate Agent,555-6488,MN,GHV6TMP2,0x5832e71d9dcb0825c177aaced9ba15a3635b698c,55401
333 Poplar Boulevard,Apt 4C,Portland,,,3299.95,2024-05-24,,donors,Tech Solutions Inc,,,Christine,,81,,,Harris,Marketing Director,555-5836,OR,M91DV3DW,0x9e93a17d9105a0682c40ec8aa268897b68172689,97201
334 Ash Drive,,San Antonio,,,27,2024-05-25,,donors,Biotech Labs,,,Keith,,82,,,Vargas,Network Engineer,555-4237,TX,HX1TJEQY,0xe5e7c4760c8ff66f4cfc648aad78ec321e41622f,78201
613 Ash Place,Unit 4C,Albuquerque,,,27.51,2024-05-28,,donors,Financial Advisory LLC,,,Willie,,83,,,Myers,Partner,555-6084,NM,W16RO41P,0xe28eb12c0381ce4f4b121a6c6816b448f569bbf9,87101
554 Pine Place,,Portland,,,183.22,2024-05-28,,donors,Media Productions,,,Zachary,,84,,,Simmons,Designer,555-7442,OR,8H68I9A7,0x8774d1c6bbf3c427725fd2b990f169f3792581ec,97201
812 Spruce Boulevard,,Atlanta,,,489.5,2024-05-29,,donors,Sports Management,,,Laura,,85,,,Alvarez,Network Engineer,555-8531,GA,AE6STQMB,0xf0db28b02e0aefc44f0c8f440689b2e8b2aab742,30301
921 Poplar Circle,Apt 5C,Minneapolis,,,61.91,2024-05-30,,donors,Aerospace Corp,,,Rebecca,,86,,,Morgan,Pharmacist,555-4983,MN,RGBZX2ZV,0x338e51a7036a2d062c4348f191c49423131b8e19,55401
855 Ash Road,,Portland,,,250.14,2024-05-31,,donors,Retail Giants,,,Eugene,,87,,,Nelson,Architect,555-8956,OR,YDJM4G6H,0x718113be3ad96f60385ff9344640c73e25d25765,97201
816 Elm Circle,Unit 7C,Phoenix,,,680.57,2024-06-03,,donors,Telecom Company,,,Aaron,,88,,,Foster,Director,555-4072,AZ,NPUEXHGC,0x062be612223a13602911e0c645268933d7c2afad,85001
528 Birch Street,Unit 19C,Fresno,,,1953.69,2024-06-05,,donors,Tech Solutions Inc,,,Andrea,,89,,,Watson,Producer,555-4895,CA,KQIIPUPB,0x83a0b9fc0683f66235f5a10affb7d1d7be65ba5a,93701
689 Willow Road,Unit 11B,San Jose,,,626.8,2024-06-08,,donors,Real Estate Group,,,Kyle,,90,,,Rivera,Physician,555-5266,CA,C3Z2QOV8,0x7b4e9fcadf8ca8d10d80f3fe649d7329efd1dffe,95101
176 Elm Boulevard,,Dallas,,,377.72,2024-06-08,,donors,Retail Chain,,,Christopher,,91,,,McDonald,Regional Manager,555-8841,TX,0ZSA683Z,0x62ce8019d99f1200de3aeac4442318d5f0b43a95,75201
765 Pine Circle,,Boston,,,1699.53,2024-06-09,,donors,Travel Agency,,,Joshua,,92,,,Hall,Restaurant Owner,555-9828,MA,N6Z37BFH,0x5a7484093ea1c9f0ba6f92ecb04c5d31855b5edb,02101
653 Cedar Place,,Fresno,,,119.92,2024-06-10,,donors,Architecture Firm,,,Dennis,,93,,,Jackson,Financial Analyst,555-5858,CA,DMDT7SNV,0xab8ae0c9c2bcfcd1a1d2c470726590abdc7b42b2,93701
620 Birch Lane,Unit 17B,San Antonio,,,149.03,2024-06-11,,donors,Consulting Firm,,,Stephen,,94,,,Ward,Engineer,555-1782,TX,M22SMOJS,0x813389e2380a9b638316362b070c19bca9955689,78201
935 Oak Circle,,Virginia Beach,,,1273.05,2024-06-12,,donors,Music Label,,,Sara,,95,,,Sanders,Professor,555-7493,VA,R6OLX2YW,0x4f182d7fca5d5db5a0b5179ff4b5e8afed6d6a04,23451
173 Birch Court,,Milwaukee,,,1182.19,2024-06-13,,donors,Tech Startup,,,Nicholas,,96,,,Hughes,Software Engineer,555-7691,WI,KMFOSQ9O,0x70ec3b64e8ecfb732b3eeea4ee8d0cc5a050055c,53201
273 Cedar Court,Apt 17,Boston,,,46.24,2024-06-14,,donors,Travel Agency,,,Charles,,97,,,Reyes,Security Consultant,555-2109,MA,FCPJ4T0A,0x4ca8c1ea0324538018d71b219d01121f44802ea4,02101
855 Ash Road,,Portland,,,639.1,2024-06-16,,donors,Retail Giants,,,Eugene,,98,,,Nelson,Architect,555-8956,OR,YDJM4G6H,0x718113be3ad96f60385ff9344640c73e25d25765,97201
509 Pine Circle,,Atlanta,,,361.39,2024-06-16,,donors,Hospital Network,,,Kelly,,99,,,Diaz,Systems Analyst,555-6981,GA,6H1RMG77,0xb04cd64de83f984a0587cf8c4af20c920e8fcc4a,30301
124 Pine Way,,Milwaukee,,,42.18,2024-06-17,,donors,Food Services,,,Jennifer,,100,,,Mendoza,Operations Manager,555-6978,WI,AMNKHZ1B,0x3db59b0ecfdccda46e37fca7df83f9f66f45f2c1,53201
104 Pine Drive,Unit 15A,Charlotte,,,1844.04,2024-06-17,,donors,Nonprofit Org,,,Christine,,101,,,Washington,Producer,555-5974,NC,PYU7VDP8,0x5246d0a65978e9bd34c7aa7a52354b9f49797a80,28201
415 Pine Lane,Apt 3,Raleigh,,,838.63,2024-06-17,,donors,Biotech Labs,,,Jessica,,102,,,Martin,Engineer,555-5388,NC,9AFFUUV5,0x05799cd6cebb2440a422ca35fc5ea0b9fbbd925a,27601
928 Oak Way,,Houston,,,626.71,2024-06-22,,donors,Art Gallery,,,Charlotte,,103,,,Kelly,CPA,555-2503,TX,T3OAEB3E,0x1e64dd35f4defceea0351705533b6fe4d4a54d1a,77001
827 Oak Road,,Indianapolis,,,533.04,2024-06-23,,donors,Accounting Firm,,,Joshua,,104,,,Stewart,Director,555-4815,IN,ZE770A29,0x6d6de9a618f8838c8eb7581594cfa3bcca2caf83,46201
